上场时长,出场数,国籍,姓名,年龄分组,生日/年龄
2.656,30,挪威,John Hou Saeter,23-30,13/01/1998 (26)
2.625,30,葡萄牙,Wilson Manafá,23-30,23/07/1994 (29)
2.610,29,西班牙,Juan Antonio Ros,23-30,15/03/1996 (28)
2.610,29,中国,Quanbo Guo,23-30,31/08/1997 (26)
2.575,29,巴西,Riccieli,23-30,17/09/1998 (25)
2.541,29,巴西,Bruno Nazário,23-30,09/02/1995 (29)
2.533,29,塞尔维亚,Nikola Radmanovac,23-30,30/01/1997 (27)
2.520,28,巴西,Matheus Jussa,23-30,22/03/1996 (28)
2.519,29,中国,Zhuoyi Lü,23-30,16/04/2001 (23)
2.504,30,巴西,Mateus Vital,23-30,12/02/1998 (26)
2.501,29,西班牙,Alberto Quiles,23-30,27/04/1995 (29)
2.500,30,加纳,Aziz Yakubu,23-30,10/11/1998 (25)
2.486,29,葡萄牙,Xadas,23-30,02/12/1997 (26)
2.450,28,加纳,Nené,23-30,10/06/1995 (29)
2.449,28,巴西,lago Maidana,23-30,06/02/1996 (28)
2.433,28,以色列,Yahav Gurfinkel,23-30,27/06/1998 (26)
2.412,30,巴西,Léo,23-30,28/05/1997 (27)
2.385,27,英国,Tim Chow,23-30,18/01/1994 (30)
2.384,28,中国,Junjian Liao,23-30,27/01/1994 (30)
2.370,27,法国,Kylian Mbappé,23-30,20/12/1998 (25)
2.355,26,挪威,Erling Haaland,23-30,21/07/2000 (24)
2.340,25,英国,Phil Foden,23-30,28/05/2000 (24)
2.325,24,英国,Jude Bellingham,23-30,29/06/2003 (21)
2.310,23,巴西,Vinícius Júnior,23-30,12/07/2000 (24)
2.295,22,西班牙,Pedri,23-30,25/11/2002 (22)
