上场时长,出场数,国籍,姓名,年龄分组,生日/年龄
2.675,30,中国,Guowen Sun,O30,30/09/1993 (30)
2.610,29,巴西,Lucas Possignolo,O30,11/05/1994 (30)
2.606,30,葡萄牙,Fabio Abreu,O30,29/01/1993 (31)
2.600,29,中国,Bo Zhao,O30,17/09/1993 (30)
2.596,30,巴西,Felipe Silva,O30,03/04/1992 (32)
2.566,29,中国,Tixiang Li,O30,01/09/1989 (34)
2.520,28,巴西,Lucas Maia,O30,23/02/1993 (31)
2.499,29,巴西,Rodrigo Henrique,O30,02/07/1993 (30)
2.489,30,格鲁吉亚,Valeri Qazaishvili,O30,29/01/1993 (31)
2.457,30,加纳,Frank Acheampong,O30,16/10/1993 (30)
2.457,28,巴西,Davidson,O30,05/03/1991 (33)
2.430,27,中国,Dianzuo Liu,O30,26/06/1990 (34)
2.428,30,挪威,Ohi Omoijuanfo,O30,10/01/1994 (30)
2.414,27,塞尔维亚,Rade Dugalic,O30,05/11/1992 (31)
2.380,26,阿根廷,Javier Mascherano,O30,08/06/1984 (40)
2.350,25,西班牙,Sergio Ramos,O30,30/03/1986 (38)
2.320,24,阿根廷,Lionel Messi,O30,24/06/1987 (37)
2.290,23,葡萄牙,Cristiano Ronaldo,O30,05/02/1985 (39)
2.260,22,西班牙,Andres Iniesta,O30,11/05/1984 (40)
2.230,21,西班牙,Xavi Hernandez,O30,25/01/1980 (44)
2.200,20,法国,Zinedine Zidane,O30,23/06/1972 (52)
2.170,19,巴西,Ronaldinho ,O30,21/03/1980 (44)
2.140,18,巴西,Ronaldo Nazário,O30,22/09/1976 (48)
2.110,17,巴西,Romariord,O30,29/01/1966 (58)
2.080,16,巴西,Pele,O30,23/10/1940 (84)
2.656,30,挪威,John Hou Saeter,23-30,13/01/1998 (26)
2.625,30,葡萄牙,Wilson Manafá,23-30,23/07/1994 (29)
2.610,29,西班牙,Juan Antonio Ros,23-30,15/03/1996 (28)
2.610,29,中国,Quanbo Guo,23-30,31/08/1997 (26)
2.575,29,巴西,Riccieli,23-30,17/09/1998 (25)
2.541,29,巴西,Bruno Nazário,23-30,09/02/1995 (29)
2.533,29,塞尔维亚,Nikola Radmanovac,23-30,30/01/1997 (27)
2.520,28,巴西,Matheus Jussa,23-30,22/03/1996 (28)
2.519,29,中国,Zhuoyi Lü,23-30,16/04/2001 (23)
2.504,30,巴西,Mateus Vital,23-30,12/02/1998 (26)
2.501,29,西班牙,Alberto Quiles,23-30,27/04/1995 (29)
2.500,30,加纳,Aziz Yakubu,23-30,10/11/1998 (25)
2.486,29,葡萄牙,Xadas,23-30,02/12/1997 (26)
2.450,28,加纳,Nené,23-30,10/06/1995 (29)
2.449,28,巴西,lago Maidana,23-30,06/02/1996 (28)
2.433,28,以色列,Yahav Gurfinkel,23-30,27/06/1998 (26)
2.412,30,巴西,Léo,23-30,28/05/1997 (27)
2.385,27,英国,Tim Chow,23-30,18/01/1994 (30)
2.384,28,中国,Junjian Liao,23-30,27/01/1994 (30)
2.370,27,法国,Kylian Mbappé,23-30,20/12/1998 (25)
2.355,26,挪威,Erling Haaland,23-30,21/07/2000 (24)
2.340,25,英国,Phil Foden,23-30,28/05/2000 (24)
2.325,24,英国,Jude Bellingham,23-30,29/06/2003 (21)
2.310,23,巴西,Vinícius Júnior,23-30,12/07/2000 (24)
2.295,22,西班牙,Pedri,23-30,25/11/2002 (22)
2.610,29,中国,Hao Li,U23,06/03/2004 (20)
2.500,28,中国,Haofan Liu,U23,12/07/2001 (23)
2.400,27,中国,Yongkang Zhou,U23,20/02/2002 (22)
2.300,26,中国,Zhengyu Ji,U23,05/01/2003 (21)
2.200,25,中国,Jiabao Chen,U23,18/09/2000 (24)
2.180,24,中国,Xiaoming Wang,U23,15/04/2004 (20)
2.160,23,中国,Tong Li,U23,22/08/2003 (21)
2.140,22,中国,Hao Zhang,U23,09/11/2002 (22)
2.120,21,中国,Yifan Liu,U23,30/01/2004 (20)
2.100,20,中国,Cheng Hao,U23,18/07/2003 (21)
2.080,19,中国,Kai Wang,U23,12/09/2002 (22)
2.060,18,中国,Yuxuan Li,U23,05/05/2004 (20)
2.040,17,中国,Zhen Wang,U23,28/02/2003 (21)
2.020,16,中国,Jianfeng Liu,U23,19/10/2002 (22)
2.000,15,中国,Lei Chen,U23,11/06/2004 (20)
1.980,14,英国,Mason Greenwood,U23,01/10/2001 (23)
1.960,13,西班牙,Gavi,U23,05/08/2004 (20)
1.940,12,法国,Eduardo Camavinga,U23,10/11/2002 (22)
1.920,11,西班牙,Ansu Fati,U23,31/10/2002 (22)
1.900,10,德国,Jamal Musiala,U23,26/02/2003 (21)
1.880,9,荷兰,Ryan Gravenberch,U23,16/05/2002 (22)
1.860,8,法国,Wesley Fofana,U23,17/12/2000 (24)
1.840,7,法国,Jules Koundé,U23,12/11/1998 (25)
1.820,6,法国,Aurélien Tchouameni,U23,27/01/2000 (24)
1.800,5,法国,Randal Kolo Muani,U23,05/12/1998 (25)
