上场时长,出场数,国籍,姓名,生日/年龄,年龄分组
2.675,30,中国,Guowen Sun,30/09/1993 (30),O30
2.610,29,巴西,Lucas Possignolo,11/05/1994 (30),O30
2.606,30,葡萄牙,Fabio Abreu,29/01/1993 (31),O30
2.600,29,中国,Bo Zhao,17/09/1993 (30),O30
2.596,30,巴西,Felipe Silva,03/04/1992 (32),O30
2.566,29,中国,Tixiang Li,01/09/1989 (34),O30
2.520,28,巴西,Lucas Maia,23/02/1993 (31),O30
2.499,29,巴西,Rodrigo Henrique,02/07/1993 (30),O30
2.489,30,格鲁吉亚,Valeri Qazaishvili,29/01/1993 (31),O30
2.457,30,加纳,Frank Acheampong,16/10/1993 (30),O30
2.457,28,巴西,Davidson,05/03/1991 (33),O30
2.430,27,中国,Dianzuo Liu,26/06/1990 (34),O30
2.428,30,挪威,Ohi Omoijuanfo,10/01/1994 (30),O30
2.414,27,塞尔维亚,Rade Dugalic,05/11/1992 (31),O30
2.380,26,阿根廷,Javier Mascherano,08/06/1984 (40),O30
2.350,25,西班牙,Sergio Ramos,30/03/1986 (38),O30
2.320,24,阿根廷,Lionel Messi,24/06/1987 (37),O30
2.290,23,葡萄牙,Cristiano Ronaldo,05/02/1985 (39),O30
2.260,22,西班牙,Andres Iniesta,11/05/1984 (40),O30
2.230,21,西班牙,Xavi Hernandez,25/01/1980 (44),O30
2.200,20,法国,Zinedine Zidane,23/06/1972 (52),O30
2.170,19,巴西,Ronaldinho ,21/03/1980 (44),O30
2.140,18,巴西,Ronaldo Nazário,22/09/1976 (48),O30
2.110,17,巴西,Romariord,29/01/1966 (58),O30
2.080,16,巴西,Pele,23/10/1940 (84),O30
