上场时长,出场数,国籍,姓名,年龄分组,生日/年龄
2.610,29,中国,Hao Li,U23,06/03/2004 (20)
2.500,28,中国,Haofan Liu,U23,12/07/2001 (23)
2.400,27,中国,Yongkang Zhou,U23,20/02/2002 (22)
2.300,26,中国,Zhengyu Ji,U23,05/01/2003 (21)
2.200,25,中国,Jiabao Chen,U23,18/09/2000 (24)
2.180,24,中国,Xiaoming Wang,U23,15/04/2004 (20)
2.160,23,中国,Tong Li,U23,22/08/2003 (21)
2.140,22,中国,Hao Zhang,U23,09/11/2002 (22)
2.120,21,中国,Yifan Liu,U23,30/01/2004 (20)
2.100,20,中国,Cheng Hao,U23,18/07/2003 (21)
2.080,19,中国,Kai Wang,U23,12/09/2002 (22)
2.060,18,中国,Yuxuan Li,U23,05/05/2004 (20)
2.040,17,中国,Zhen Wang,U23,28/02/2003 (21)
2.020,16,中国,Jianfeng Liu,U23,19/10/2002 (22)
2.000,15,中国,Lei Chen,U23,11/06/2004 (20)
1.980,14,英国,Mason Greenwood,U23,01/10/2001 (23)
1.960,13,西班牙,Gavi,U23,05/08/2004 (20)
1.940,12,法国,Eduardo Camavinga,U23,10/11/2002 (22)
1.920,11,西班牙,Ansu Fati,U23,31/10/2002 (22)
1.900,10,德国,Jamal Musiala,U23,26/02/2003 (21)
1.880,9,荷兰,Ryan Gravenberch,U23,16/05/2002 (22)
1.860,8,法国,Wesley Fofana,U23,17/12/2000 (24)
1.840,7,法国,Jules Koundé,U23,12/11/1998 (25)
1.820,6,法国,Aurélien Tchouameni,U23,27/01/2000 (24)
1.800,5,法国,Randal Kolo Muani,U23,05/12/1998 (25)
